,지역,상호,주소,상표,셀프여부,경유
5,대전광역시,(주)에너비즈삼성주유소,대전 중구 계룡로 778 (오류동),S-OIL,Y,1284
6,대전광역시,대전명성 셀프주유소,대전 중구 대종로 103 (옥계동),현대오일뱅크,Y,1285
7,대전광역시,중앙주유소,대전 중구 대종로 558 (선화동),S-OIL,Y,1288
8,대전광역시,이화주유소,대전 중구 대종로 166 (석교동),SK에너지,N,1289
9,대전광역시,(주)석교주유소,대전 중구 대종로 207 (석교동),SK에너지,Y,1289
10,대전광역시,진성주유소,대전 중구 대종로 122 (호동),SK에너지,Y,1299
11,대전광역시,버드내셀프주유소,대전 중구 계백로 1520 (유천동),현대오일뱅크,Y,1295
12,대전광역시,안영IC주유소,대전 중구  대둔산로 188 (안영동),GS칼텍스,Y,1294
13,대전광역시,행복가득주유소,대전광역시 중구 보문산로 86(산성동),현대오일뱅크,Y,1290
14,대전광역시,(주)메이저플러스 명품주유소,대전광역시 중구 보문로 301 (선화동),현대오일뱅크,Y,1289
15,대전광역시,청정주유소,대전 중구 오류로 120 (오류동),SK에너지,Y,1309
16,대전광역시,동물원주유소,대전 중구 대둔산로 270 (사정동),SK에너지,N,1299
17,대전광역시,보문주유소,대전 중구 보문로 59 (부사동),자가상표,N,1299
18,대전광역시,(주)메이저플러스 오월드주유소,대전 중구 대둔산로 359 (사정동),S-OIL,Y,1290
19,대전광역시,서대전농협주유소,대전 중구 계백로 1555 (유천동),SK에너지,Y,1294
20,대전광역시,(주)농협대전유통 하나로주유소,대전 중구 대둔산로 199번길 43,NH-OIL,Y,1294
21,대전광역시,현대오일뱅크(주) 충무주유소,대전 중구 충무로 141 (부사동),현대오일뱅크,N,1314
22,대전광역시,안영셀프주유소,대전 중구 대둔산로 241 (안영동),현대오일뱅크,Y,1295
23,대전광역시,하나로주유소,대전 중구 대둔산로 211 (안영동),SK에너지,Y,1295
24,대전광역시,뿌리주유소,대전 중구 오류로 95 (오류동),SK에너지,N,1309
25,대전광역시,(주)봉봉 주유소,대전 중구  대둔산로 491 (산성동),S-OIL,Y,1335
